Genome	ORF start	ORF stop	Strand 	Gene	Early TSS	Late TSS	Distance Early vs Late TSS	Early UTR length	Late UTR length	Max UTR length	Expression Stage
FR682468.1	7275	7649	-	MGF_110-3L	7716	7716	0	67	67	67	Early
FR682468.1	7961	8335	-	MGF_110-4L	8402	8402	0	67	67	67	Early
FR682468.1	8523	9140	-	MGF_110-5L-6L	9195	9195	0	55	55	55	Early
FR682468.1	9347	9760	-	MGF_110-7L	9847	9847	0	87	87	87	Early
FR682468.1	10487	10870	-	MGF_110-8L	10886	10886	0	16	16	16	Early
FR682468.1	11621	12493	-	MGF_110-9L	12585	12585	0	92	92	92	Early
FR682468.1	19733	20539	-	MGF_300-1L	20570	20570	0	31	31	31	Early
FR682468.1	21937	22929	-	MGF_300-4L	23011	23011	0	82	82	82	Early
FR682468.1	25401	26438	-	MGF_360-10L	26443	26443	0	5	5	5	Early
FR682468.1	26465	27526	-	MGF_360-11L	27530	27530	0	4	4	4	Early
FR682468.1	29382	30434	-	MGF_360-12L	30440	30440	0	6	6	6	Early
FR682468.1	30595	31656	-	MGF_360-13L	31662	31662	0	6	6	6	Early
FR682468.1	31840	32913	-	MGF_360-14L	32992	32992	0	79	79	79	Early
FR682468.1	49405	50235	+	MGF_360-15R	49387	49387	0	18	18	18	Early
FR682468.1	176590	177519	+	MGF_360-16R	176582	176582	0	8	8	8	Early
FR682468.1	183324	184037	+	MGF_360-18R	183316	183316	0	8	8	8	Early
FR682468.1	185233	186042	+	MGF_360-19R	185213	185213	0	20	20	20	Early
FR682468.1	852	1934	-	MGF_360-1L	1953	1936	-17	19	2	19	Early
FR682468.1	186970	188040	+	MGF_360-21R	186965	186965	0	5	5	5	Early
FR682468.1	15242	16405	-	MGF_360-4L	16420	16420	0	15	15	15	Early
FR682468.1	17222	18349	-	MGF_360-6L	18364	18364	0	15	15	15	Early
FR682468.1	23042	24001	-	MGF_360-8L	24004	24004	0	3	3	3	Early
FR682468.1	24163	25215	-	MGF_360-9L	25217	25217	0	2	2	2	Early
FR682468.1	44564	46192	+	MGF_505-10R	44557	44557	0	7	7	7	Early
FR682468.1	177727	179355	-	MGF_505-11L	179363	179363	0	8	8	8	Early
FR682468.1	27734	29329	+	MGF_505-1R	27707	27707	0	27	27	27	Early
FR682468.1	34786	35628	+	MGF_505-3R	34747	34747	0	39	39	39	Early
FR682468.1	35796	37316	+	MGF_505-4R	35794	35794	0	2	2	2	Early
FR682468.1	37345	38841	+	MGF_505-5R	37341	37341	0	4	4	4	Early
FR682468.1	39041	40618	+	MGF_505-6R	39034	39034	0	7	7	7	Early
FR682468.1	40747	42330	+	MGF_505-7R	40740	40740	0	7	7	7	Early
FR682468.1	42633	44153	+	MGF_505-9R	42626	42626	0	7	7	7	Early
FR682468.1	129068	133420	-	NP1450L	133429	133426	-3	9	6	9	Early
FR682468.1	133502	134761	-	NP419L	134767	134767	0	6	6	6	Early
FR682468.1	134826	137432	+	NP868R	134824	134824	0	2	2	2	Early
FR682468.1	147531	151109	+	P1192R	147527	147527	0	4	4	4	Early
FR682468.1	19324	19422	-	pNG_a	19443	19443	0	21	21	21	Early
FR682468.1	19227	19436	+	X69R	19216	19216	0	11	11	11	Early
FR682468.1	47343	47657	+	A104R	47335	47335	0	8	8	8	Late
FR682468.1	48276	48458	+	A118R	47944	47944	0	332	332	332	Late
FR682468.1	54551	54964	+	A137R	54538	54538	0	13	13	13	Late
FR682468.1	46309	46983	-	A224L	47004	47004	0	21	21	21	Late
FR682468.1	51201	53777	-	A859L	53837	53837	0	60	60	60	Late
FR682468.1	13602	13685	+	ASFV_G_ACD_00240	13366	13366	0	236	236	236	Late
FR682468.1	35706	35828	-	ASFV_G_ACD_00520	35883	35883	0	55	55	55	Late
FR682468.1	91914	92072	-	ASFV_G_ACD_01020	92077	92077	0	5	5	5	Late
FR682468.1	174920	175003	-	ASFV_G_ACD_01760	175023	175023	0	20	20	20	Late
FR682468.1	181598	181735	+	ASFV_G_ACD_01870	181458	181458	0	140	140	140	Late
FR682468.1	105920	106267	-	B117L	106270	106270	0	3	3	3	Late
FR682468.1	94949	95308	-	B119L	95337	95337	0	29	29	29	Late
FR682468.1	105570	105947	+	B125R	105568	105568	0	2	2	2	Late
FR682468.1	97541	98035	-	B169L	98042	98042	0	7	7	7	Late
FR682468.1	107540	108067	-	B175L	108080	108080	0	13	13	13	Late
FR682468.1	95289	96245	-	B318L	96363	96363	0	118	118	118	Late
FR682468.1	99614	100678	-	B354L	100686	100686	0	8	8	8	Late
FR682468.1	102336	103493	+	B385R	102330	102330	0	6	6	6	Late
FR682468.1	106274	107512	-	B407L	107519	107529	10	7	17	17	Late
FR682468.1	96212	97528	-	B438L	97535	97535	0	7	7	7	Late
FR682468.1	98052	99479	-	B475L	99480	99482	2	1	3	3	Late
FR682468.1	100689	102281	-	B602L	102295	102293	-2	14	12	14	Late
FR682468.1	103590	105530	-	B646L	105534	105534	0	4	4	4	Late
FR682468.1	108902	109102	-	B66L	109104	109104	0	2	2	2	Late
FR682468.1	92101	94989	-	B962L	94996	94996	0	7	7	7	Late
FR682468.1	80916	81305	+	C129R	80912	80912	0	4	4	4	Late
FR682468.1	88202	88645	-	C147L	88650	88650	0	5	5	5	Late
FR682468.1	84955	85728	-	C257L	85739	85739	0	11	11	11	Late
FR682468.1	85707	87134	-	C475L	87152	87152	0	18	18	18	Late
FR682468.1	82085	84238	+	C717R	82080	82080	0	5	5	5	Late
FR682468.1	81353	81592	-	C84L	81594	81594	0	2	2	2	Late
FR682468.1	89075	91963	+	C962R	89070	89070	0	5	5	5	Late
FR682468.1	116787	117155	-	CP123L	117165	117165	0	10	10	10	Late
FR682468.1	117260	124690	-	CP2475L	124693	124693	0	3	3	3	Late
FR682468.1	125406	126998	+	CP530R	125398	125398	0	8	8	8	Late
FR682468.1	127001	127243	+	CP80R	126992	126975	-17	9	26	26	Late
FR682468.1	140341	143742	-	D1133L	143744	143744	0	2	2	2	Late
FR682468.1	143972	144325	-	D117L	144348	144348	0	23	23	23	Late
FR682468.1	138420	138809	-	D129L	138810	138810	0	1	1	1	Late
FR682468.1	145026	146063	-	D345L	146066	146066	0	3	3	3	Late
FR682468.1	177501	177647	+	DP63R	177356	177356	0	145	145	145	Late
FR682468.1	184020	184232	-	DP71L	184260	184235	-25	28	3	28	Late
FR682468.1	138882	139121	-	DP79L	139136	139136	0	15	15	15	Late
FR682468.1	169070	169405	+	E111R	169064	169064	0	6	6	6	Late
FR682468.1	167779	168147	+	E120R	167811	167773	-38	-32	6	6	Late
FR682468.1	165168	165608	-	E146L	165611	165611	0	3	3	3	Late
FR682468.1	162222	162776	-	E183L	162903	162788	-115	127	12	127	Late
FR682468.1	161624	162178	-	E184L	162191	162191	0	13	13	13	Late
FR682468.1	165845	166444	-	E199L	166468	166468	0	24	24	24	Late
FR682468.1	166992	167738	+	E248R	166989	166989	0	3	3	3	Late
FR682468.1	162807	164078	+	E423R	162794	162794	0	13	13	13	Late
FR682468.1	66514	70242	-	EP1242L	70248	70258	10	6	16	16	Late
FR682468.1	72362	72820	+	EP152R	72314	72331	17	48	31	48	Late
FR682468.1	74521	75630	+	EP364R	74519	74519	0	2	2	2	Late
FR682468.1	73369	74451	+	EP402R	73338	73338	0	31	31	31	Late
FR682468.1	70611	71867	+	EP424R	70608	70581	-27	3	30	30	Late
FR682468.1	70321	70575	+	EP84R	70296	70296	0	25	25	25	Late
FR682468.1	59456	59866	+	F165R	59451	59451	0	5	5	5	Late
FR682468.1	54997	55950	-	F317L	55954	55954	0	4	4	4	Late
FR682468.1	109108	113130	-	G1340L	113133	113133	0	3	3	3	Late
FR682468.1	154237	154563	+	H108R	154231	154231	0	6	6	6	Late
FR682468.1	152809	153183	+	H124R	152804	152804	0	5	5	5	Late
FR682468.1	152255	152770	+	H171R	152244	152244	0	11	11	11	Late
FR682468.1	154523	155224	+	H233R	154457	154457	0	66	66	66	Late
FR682468.1	155339	156064	+	H240R	155338	155338	0	1	1	1	Late
FR682468.1	153206	154225	+	H339R	153202	153202	0	4	4	4	Late
FR682468.1	182064	182576	-	I10L	182584	182584	0	8	8	8	Late
FR682468.1	174471	174671	-	I177L	174679	174679	0	8	8	8	Late
FR682468.1	174996	175604	-	I196L	175612	175612	0	8	8	8	Late
FR682468.1	170596	171276	+	I226R	170596	170588	-8	0	8	8	Late
FR682468.1	171273	171998	-	I243L	172001	171994	-7	3	-4	3	Late
FR682468.1	172515	173504	-	I329L	173513	173513	0	9	9	9	Late
FR682468.1	181192	181503	-	I8L	181414	181507	93	-89	4	4	Late
FR682468.1	64734	65171	+	K145R	64731	64731	0	3	3	3	Late
FR682468.1	65205	66473	+	K421R	65199	65199	0	6	6	6	Late
FR682468.1	63895	64131	+	K78R	63884	63890	6	11	5	11	Late
FR682468.1	3263	3781	+	KP177R	3260	3260	0	3	3	3	Late
FR682468.1	182815	183048	-	L11L	183058	183058	0	10	10	10	Late
FR682468.1	4263	4421	-	L60L	4443	4427	-16	22	6	22	Late
FR682468.1	75694	79443	-	M1249L	79466	79466	0	23	23	23	Late
FR682468.1	179473	179868	-	MGF_100-1L	179880	179880	0	12	12	12	Late
FR682468.1	11088	11462	+	MGF_100-1R	11037	11032	-5	51	56	56	Late
FR682468.1	13792	14151	-	MGF_110-12L	14171	14176	5	20	25	25	Late
FR682468.1	2020	3108	-	MGF_360-2L	3223	3223	0	115	115	115	Late
FR682468.1	33119	34699	+	MGF_505-2R	33109	33109	0	10	10	10	Late
FR682468.1	128229	128753	-	O174L	128760	128760	0	7	7	7	Late
FR682468.1	128803	128988	+	O61R	128792	128792	0	11	11	11	Late
FR682468.1	156928	159048	-	Q706L	159058	159058	0	10	10	10	Late
FR682468.1	160525	161676	+	QP383R	160494	160494	0	31	31	31	Late
FR682468.1	159006	160535	-	QP509L	160627	160627	0	92	92	92	Late
FR682468.1	156057	156953	-	R298L	156971	156971	0	18	18	18	Late
FR682468.1	146063	146614	-	S183L	146623	146623	0	9	9	9	Late
FR682468.1	146675	147496	+	S273R	146660	146660	0	15	15	15	Late
FR682468.1	18577	18702	+	ASFV_G_ACD_00320	18516	18516	0	61	61	61	NC
FR682468.1	87187	88134	+	C315R	87183	87178	-5	4	9	9	NC
FR682468.1	144382	144999	+	D205R	144358	144358	1	24	24	24	NC
FR682468.1	164229	165134	+	E301R	164228	164228	0	1	1	1	NC
FR682468.1	151141	152220	-	H359L	152229	152229	0	9	9	9	NC
FR682468.1	180670	180978	-	I7L	180982	180982	0	4	4	4	NC
FR682468.1	4580	5650	-	MGF_360-3L	5652	5725	73	2	75	75	NC
