Gene Name	DESeq2 Basemean	log2 Fold Change	lfcSE	Adjusted p‑value	S1-5h FPM	S2-5h FPM	S3-16h FPM	S4-16h FPM	Function (VOCS)	Gene Type
A542R	2945.95	-5.01	0.19	4.26E-147	6231.74	5198.23	158.22	195.6	MGF 505-10R	Early
A859L	121.97	2.42	0.33	2.95E-13	37.61	39.03	211.06	200.16	Helicase superfamily II	Late
B117L	1496.91	7.21	0.46	1.38E-54	7.52	31.93	3122.27	2825.92	TR containing protein	Late
B119L	3694.37	7.04	0.79	6.52E-19	26.33	85.16	6757.07	7908.93	FAD-dependent thiol oxidase; ALR/ERV-like region	Late
B125R	2220.97	5.64	0.24	2.85E-119	71.46	102.9	4275.59	4433.95	E2 early regulatory protein	Late
B169L	284.58	1.25	0.2	2.19E-10	188.04	149.03	421.02	380.21	PSP, TR and Bacteriocin AS-48	Late
B175L	517.84	6.84	1.34	3.64E-07	0	17.74	1141.07	912.55	Late TF VLTF-2	Late
B263R	3529.89	-3.56	0.12	1.87E-206	6525.09	6489.81	581.7	522.95	TBP	Early
B318L	273.49	6.63	0.84	3.81E-15	0	10.64	555.28	528.05	Prenyltransferase	Late
B354L	486.65	5.57	0.46	1.28E-33	22.57	17.74	1011.98	894.3	P-loop-containing nucleoside triphosphate hydrolases	Late
B385R	647.95	6.68	1.74	1.29E-04	0	24.84	1162.85	1404.11	A2L-like TF	Late
B407L	1223.7	8.06	0.67	7.02E-33	7.52	10.64	2674.83	2201.81	Uncharacterised	Late
B438L	723.05	7.62	0.74	9.65E-25	0	14.19	1531.32	1346.69	p49	Late
B475L	3255.55	6.79	0.29	2.72E-117	52.65	63.87	6836.86	6068.81	Uncharacterised	Late
B602L	1779.52	6.27	0.38	8.70E-62	30.09	60.32	3033.22	3994.44	Chaperone	Late
B646L	10645.63	7.45	0.69	4.89E-27	63.93	177.41	20599.64	21741.51	p72	Late
B66L	1006.17	5.91	0.39	1.94E-51	22.57	42.58	2165.3	1794.24	PSP	Late
B962L	220.71	6.32	0.84	6.37E-14	0	10.64	431.1	441.11	RNA helicase	Late
C105R	2549.03	-3.9	0.22	5.28E-67	5001.94	4552.45	267.43	374.3	Uncharacterised	Early
C129R	1440.7	5.96	0.44	2.14E-41	26.33	63.87	2246.73	3425.88	Mn-dependent superoxide dismutase	Late
C147L	1120.71	3.39	0.21	5.57E-56	221.89	170.32	2174.83	1915.79	RPB6	Late
C257L	2402.34	7.21	1.3	3.02E-08	3.76	60.32	5034.85	4510.42	Putative transmembrane domain	Late
C315R	667.43	0.89	0.18	1.09E-06	458.82	475.47	944.17	791.27	TFIIB	Late
C44L	5000.81	-3.06	0.17	2.43E-72	9545.05	8320.72	1167.75	969.7	Uncharacterised	Early
C475L	1315.92	6.67	0.41	1.75E-60	22.57	28.39	2665.85	2546.87	E1L-like polyA polymerase large subunit	Late
C717R	193.82	6.72	1.03	7.60E-11	0	7.1	362.74	405.43	Uncharacterised	Late
C84L	3371.73	6.72	0.79	2.83E-17	41.37	85.16	3936	9424.39	PSP	Late
C962R	748.25	8.68	1.04	8.78E-17	0	7.1	1643.52	1342.39	Putative DNA primase	Late
CP123L	703.85	7.58	0.75	1.12E-23	11.28	3.55	1575.71	1224.87	PSP	Late
CP204L	34902.57	-4.11	0.13	6.76E-211	64224.14	67743.82	4158.76	3483.57	Phosphoprotein	Early
CP2475L	3133.75	5.7	0.33	5.39E-66	90.26	145.48	5070.25	7229.01	220kDa Polyprotein	Late
CP312R	50190.58	-2.61	0.17	1.04E-55	89339.14	83139.82	15858.64	12424.72	Uncharacterised	Early
CP530R	1934.22	6.22	0.32	1.63E-85	63.93	39.03	4060.45	3573.45	60 kDa polyprotein	Late
CP80R	1958.2	0.81	0.23	5.94E-04	1462.97	1387.38	2916.93	2065.51	RPB10	Late
D1133L	203.95	7.8	1.44	6.31E-08	0	3.55	404.41	407.84	Helicase Superfamily II	Late
D117L	7593.63	7.32	0.3	6.64E-134	60.17	127.74	16138.32	14048.31	p17	Late
D129L	1206.85	6.55	0.43	9.40E-53	15.04	35.48	2585.51	2191.35	Uncharacterised	Late
D205R	315.06	0.47	0.16	3.91E-03	240.69	287.41	374.45	357.67	RPB5	Late
D250R	10071.89	-3.76	0.13	2.00E-197	19466.19	18053.67	1294.12	1473.6	8-Hydroxy-dGTpase Nudix hydrolase	Early
D339L	4933.46	-2.79	0.16	2.45E-66	8849.29	8398.79	1370.64	1115.13	RPB7-fusion	Early
D345L	889.03	1.38	0.2	1.50E-12	462.59	521.6	1410.13	1161.82	Lambda exonuclease	Late
D79L	1149.45	7.12	0.51	2.47E-43	11.28	21.29	2480.39	2084.83	Uncharacterised	Late
DP141L	43712.89	-4.27	0.11	0.00E+00	86390.63	79829.28	4562.36	4069.31	MGF 100-2L	Early
DP146L	1438.92	-3.32	0.12	8.86E-165	2523.53	2707.34	270.15	254.63	MGF 100-3L	Early
DP148R	71.52	7.73	1.45	1.01E-07	0	0	149.78	136.31	MGF 360-18R	Late
DP238L	18113.22	-3.86	0.1	0.00E+00	35551.37	32236.15	2302.56	2362.81	Uncharacterised	Early
DP311R	4483.79	-3.82	0.09	0.00E+00	8413.04	8334.92	595.32	591.91	MGF 360-16R	Early
DP363R	1282.31	-3.57	0.12	5.03E-209	2410.71	2320.58	203.16	194.8	MGF 360-19R	Early
DP42R	1167.96	-2.62	0.15	3.39E-64	2053.43	1965.75	353.21	299.44	MGF 360-21R	Early
DP542L	566.3	-3.21	0.14	2.26E-121	1071.84	972.23	110.57	110.55	MGF 505-11L	Early
DP60R	80.2	-3.26	0.25	8.17E-40	112.83	177.41	15.8	14.76	Uncharacterised	Early
DP63R	318.18	7.44	1.03	6.43E-13	3.76	3.55	675.38	590.03	Uncharacterised	Late
DP71L	916.95	2.73	0.19	1.08E-46	274.54	205.8	1628.81	1558.66	Virulence associated protein	Late
DP93R	1.15	1.77	1.49	2.39E-01	0	0	3	1.61	Uncharacterised	NC
DP96R	7901.93	-2.46	0.12	2.60E-93	13569.17	13171.23	2587.41	2279.89	Uncharacterised	Early
E111R	1763.46	5.73	0.38	9.09E-50	37.61	92.26	3953.7	2970.28	Uncharacterised	Late
E120R	9090.78	2.65	0.15	4.84E-69	2391.9	2593.8	17031.57	14345.87	DNA-binding p14.5	Late
E146L	1195.83	8.35	0.74	2.74E-29	3.76	10.64	2557.19	2211.74	PSP	Late
E165R	22775.78	-3.95	0.14	1.02E-183	43735	41841.36	3019.6	2507.16	dUTPase	Early
E183L	2320.48	7.06	0.38	4.10E-75	18.8	49.68	5003.81	4209.64	p54	Late
E184L	29823.34	7.51	0.52	3.19E-46	218.13	432.89	67883.89	50758.45	TR containing protein	Late
E199L	768.76	8.13	0.84	6.84E-22	0	10.64	1562.09	1502.31	Vaccinia J5-like virion membrane protein	Late
E248R	751.47	4.05	0.29	4.25E-44	56.41	113.55	1496.73	1339.17	Putative transmembrane domain containing protein	Late
E296R	787.77	-3.02	0.16	1.07E-83	1470.49	1334.15	184.91	161.53	AP endonuclease class II	Early
E301R	92.73	6.65	1.44	4.45E-06	3.76	0	208.33	158.84	Proliferating cell nuclear antigen-like protein	Late
E423R	155.35	8.85	1.45	1.07E-09	0	0	308.28	313.13	Uncharacterised	Late
EP1242L	3103.38	-0.13	0.13	3.15E-01	3264.42	3225.39	2772.87	3150.85	RPB2	NC
EP152R	497.12	6.75	0.66	1.51E-24	7.52	10.64	1023.96	946.36	PSP, TR and tRNA-guanine transglycosylase	Late
EP153R	4717.39	-3.54	0.12	2.25E-184	8838.01	8533.62	793.84	704.07	Lectin-like protein	Early
EP364R	995.14	6.62	0.49	1.24E-41	11.28	28.39	2210.78	1730.11	ERCC4 domain; predicted nuclease domain; potential DEATH domain	Late
EP402R	367.37	5.02	0.44	6.40E-30	30.09	14.19	757.35	667.84	CD2 homolog	Late
EP424R	707.89	-1.79	0.17	1.79E-25	1086.89	1110.61	347.77	286.29	FTS J-like Methyltransferase domain containing protein	Early
EP84R	853.3	7.86	0.75	2.81E-25	3.76	10.64	1912.85	1485.94	PSP	Late
F1055L	315.94	-3.08	0.15	3.35E-94	530.28	599.66	66.72	67.08	Helicase superfamily II	Early
F165R	1417.55	7.13	0.47	1.56E-52	22.57	17.74	3024.78	2605.1	PSP, TR	Late
F317L	1431.82	6.35	0.37	1.39E-64	26.33	42.58	3047.11	2611.27	Uncharacterised	Late
F334L	3114.64	-3.25	0.1	2.34E-243	5573.59	5698.54	578.7	607.74	Ribonucleotide reductase small subunit	Early
F778R	2029.9	-2.56	0.12	2.86E-99	3599.14	3346.03	563.72	610.69	Ribonucleotide reductase large subunit	Early
G1211R	1481.86	-2.79	0.11	2.63E-151	2643.88	2533.47	373.37	376.72	DNA polymerase	Early
G1340L	738.32	3.29	0.21	6.02E-53	131.63	141.93	1277.5	1402.23	Vaccinia A7L-like TF	Late
H108R	276.04	5.02	0.5	2.83E-23	26.33	7.1	575.43	495.31	PSP	Late
H124R	298.16	5.32	0.52	2.13E-24	18.8	10.64	584.69	578.49	Uncharacterised	Late
H171R	3854.74	7.65	0.35	1.02E-107	18.8	56.77	7914.2	7429.18	Uncharacterised	Late
H233R	971.47	7.46	0.61	3.22E-34	3.76	17.74	2044.11	1820.27	Putative transmembrane domain	Late
H240R	1019.12	7.31	0.59	1.75E-35	11.28	14.19	2273.42	1777.6	Uncharacterised	Late
H339R	2033.61	7.31	0.4	4.98E-73	18.8	31.93	4031.31	4052.4	Alpha-NAC-binding protein	Late
H359L	2679.65	-0.6	0.12	6.64E-07	3264.42	3200.55	2239.65	2013.99	RPB3	Early
I177L	262.46	4.95	0.5	1.19E-22	7.52	24.84	547.66	469.82	PSP, TR and periplasmic chaperone C-domain-containing protein	Late
I196L	1605.16	6.06	0.34	5.51E-71	22.57	70.97	3288.39	3038.7	PSP	Late
I215L	2206.18	-4.47	0.15	3.82E-196	4298.66	4144.39	207.24	174.41	Ubiquitin-conjugation enzyme	Early
I226R	1404.92	7.26	0.53	4.95E-43	7.52	28.39	3227.94	2355.83	Uncharacterised	Late
I243L	1107.43	-0.02	0.21	9.25E-01	1158.34	1071.58	1246.46	953.33	TFIIS	NC
I267L	2660.01	-2.4	0.14	7.10E-69	4776.29	4172.78	877.18	813.81	RING finger containing protein	Early
I329L	944.22	7.42	0.6	1.22E-34	11.28	10.64	1920.48	1834.49	PSP, TR and L-domain-like-region-containing protein	Late
I73R	59244.89	-4.05	0.08	0.00E+00	114487.98	109031.65	6884.52	6575.39	Uncharacterised	Early
J154R	1417.99	0.31	0.23	1.68E-01	1289.97	1238.35	1821.89	1321.73	MGF 300-2R	NC
J268L	2763.65	-4.07	0.15	8.39E-155	5408.11	5024.37	337.96	284.15	MGF 300-1L	Early
J319L	656.63	-3.08	0.21	1.74E-47	1308.78	1039.65	153.59	124.5	MGF 360-8L	Early
J328L	938.44	-3.37	0.14	1.93E-129	1812.73	1610.92	169.12	160.99	MGF 300-4L	Early
J64R	1343.33	-1.52	0.23	2.74E-11	2136.17	1845.11	801.74	590.3	Uncharacterised	Early
K145R	7102.55	6.77	0.3	3.38E-111	90.26	166.77	15601.01	12552.17	Uncharacterised	Late
K196R	4168.53	-2.58	0.17	2.41E-54	7581.89	6702.71	1303.65	1085.88	Thymidine kinase	Early
K205R	32788.74	-2.12	0.14	1.58E-50	54603.87	52049.77	13466.76	11034.56	Uncharacterised	Early
K421R	268.72	6.6	0.84	4.48E-15	3.76	7.1	536.76	527.24	Uncharacterised	Late
K78R	28287.64	5.38	0.16	7.06E-239	1233.56	1419.31	60500.46	49997.23	p10; DNA-binding activity	Late
KP177R	792.48	6.94	0.59	3.86E-32	11.28	14.19	1767.97	1376.47	p22	Late
KP360L	449.58	-0.99	0.14	1.25E-12	567.89	628.05	292.21	310.18	MGF 360-1L	Early
KP362L	136.52	-0.04	0.24	8.62E-01	131.63	145.48	116.56	152.4	MGF 360-2L	NC
KP93L	0.95	1.49	1.49	3.22E-01	0	0	1.63	2.15	Uncharacterised	NC
L270L	2311.46	-6.33	0.16	0.00E+00	4874.07	4257.94	58.82	55.01	MGF 110-1L	Early
L356L	104.47	-3.93	0.24	1.79E-59	221.89	170.32	11.17	14.49	MGF 360-3L	Early
L57L	7188.17	6.17	0.25	5.17E-136	157.96	234.19	15579.5	12781.04	Uncharacterised	Late
L83L	3125.37	-3.57	0.11	1.19E-221	5998.57	5531.77	497.82	473.31	Uncharacterised	Early
M1249L	690.38	7	1.5	3.19E-06	0	21.29	1340.96	1399.28	Ubiquitin-like domain containing protein	Late
M448R	2486.37	-2.98	0.14	6.09E-96	4614.57	4215.36	519.61	595.93	Microbody targeting signal-containing protein	Early
NP1450L	1790.41	-2.31	0.16	2.46E-46	3106.47	2856.37	652.78	546.03	RPB1	Early
NP419L	444.1	6.1	0.56	2.56E-27	3.76	21.29	912.85	838.49	DNA ligase	Late
NP868R	1539.58	-1.94	0.15	7.00E-38	2579.95	2302.84	596.95	678.58	mRNA guanylyltransferase	Early
O174L	492.07	1.92	0.19	9.87E-23	203.09	209.35	827.89	727.95	DNA polymerase beta-like protein	Late
O61R	14672.24	7.49	0.26	3.06E-183	124.11	198.7	32360.52	26005.61	p12	Late
P1192R	1351.28	-3.24	0.12	4.60E-155	2335.49	2551.22	255.17	263.22	Topoisomerase II	Early
pNG1	39968.54	-3.05	0.11	2.93E-183	75758.69	66853.2	8724.93	8537.33	Uncharacterised	Early
pNG2	31296.12	-3.22	0.07	0.00E+00	57702.82	55374.51	6108.11	5999.05	Uncharacterised	Early
pNG3	12216.03	-3.78	0.18	3.69E-97	24761.48	20789.39	1479.85	1833.41	Uncharacterised	Early
pNG4	6456.81	-3.64	0.12	1.02E-186	12738.02	11170	942.81	976.41	Uncharacterised	Early
pNG5	1432.82	7.15	0.47	5.45E-53	15.04	24.84	2647.87	3043.53	Uncharacterised	Late
pNG6	1816.36	-3.24	0.12	4.13E-162	3253.14	3317.64	363.56	331.1	Uncharacterised	Early
pNG7	1704.79	-3.86	0.17	1.36E-117	3151.6	3228.94	196.35	242.29	Uncharacterised	Early
Q706L	386.23	6.12	0.62	4.04E-23	3.76	17.74	687.09	836.35	Helicase superfamily II	Late
QP383R	29.19	6.44	1.45	9.05E-06	0	0	56.64	60.1	NifS-like PLP-dependent transferase	Late
QP509L	82.3	7.94	1.45	4.61E-08	0	0	162.04	167.16	Helicase superfamily II	Late
R298L	180.89	6.62	1.03	1.38E-10	7.52	0	374.18	341.84	Serine protein kinase	Late
S183L	523.55	7.15	0.73	1.63E-22	0	14.19	1039.21	1040.8	Uncharacterised	Late
S273R	462.74	7.39	0.85	5.05E-18	3.76	7.1	835.78	1004.31	Ulp1 protease Family	Late
U104L	10316.43	-4.01	0.13	1.49E-200	19421.06	19430.4	1307.46	1106.81	MGF 110-2L	Early
UP60L	88.57	-2.72	0.24	5.64E-30	173	134.83	19.88	26.56	MGF 110-7L/MGF 360-6L	Early
V82L	2086.94	-3.36	0.17	1.28E-83	4035.4	3569.57	406.86	335.93	MGF 110-5L	Early
X69R	62.64	-0.47	0.3	1.14E-01	63.93	81.61	44.12	60.91	PSP, TR	Early
XP124L	42504.67	-4.18	0.11	0.00E+00	85025.44	76124.87	4585.23	4283.15	MGF 110-3L	Early
Y118L	69780.77	-3.54	0.1	5.53E-260	135138.84	121826.76	11256.79	10900.67	MGF 110-6L	Early
